From	To
P22888	LHCGR
P30968	GNRHR
P30518	AVPR2
P37288	AVPR1A
P47901	AVPR1B
P49069	CAMLG
P62937	PPIA
P30405	PPIF
Q99707	MTR
P22033	MMUT
Q9UBK8	MTRR
Q8IVH4	MMAA
Q9Y4U1	MMACHC
P42898	MTHFR
P22303	ACHE
P49585	PCYT1A
O14939	PLD2
P06276	BCHE
Q13393	PLD1
Q8TCT1	PHOSPHO1
P36544	CHRNA7
P35228	NOS2
O43246	SLC7A4
Q8WY07	SLC7A3
P30825	SLC7A1
P29474	NOS3
Q96A70	AZIN2
P04424	ASL
P00966	ASS1
P78540	ARG2
O00469	PLOD2
O14832	PHYH
O60568	PLOD3
P09172	DBH
P19021	PAM
Q8IVL5	P3H2
Q8IVL6	P3H3
Q8N543	OGFOD1
Q96Q83	ALKBH3
Q9BY66	KDM5D
Q02809	PLOD1
Q9NXG6	P4HTM
Q9GZT9	EGLN1
Q96KS0	EGLN2
Q9H6Z9	EGLN3
Q9Y478	PRKAB1
Q9NR19	ACSS2
Q07343	PDE4B
P33121	ACSL1
Q13131	PRKAA1
P16220	CREB1
Q08499	PDE4D
P49773	HINT1
P09467	FBP1
P55263	ADK
P54646	PRKAA2
Q9UGJ0	PRKAG2
Q9UGI9	PRKAG3
P11473	VDR
P31260	HOXA10
P15291	B4GALT1
P54802	NAGLU
P51606	RENBP
Q9H3S4	TPK1
Q9Y698	CACNG2
Q9UF02	CACNG5
Q9BXT2	CACNG6
P54289	CACNA2D1
Q9NY47	CACNA2D2
Q8IZS8	CACNA2D3
Q13936	CACNA1C
Q01668	CACNA1D
O60840	CACNA1F
Q13698	CACNA1S
O00305	CACNB4
Q00975	CACNA1B
O00555	CACNA1A
Q15878	CACNA1E
O43497	CACNA1G
O95180	CACNA1H
Q9P0X4	CACNA1I
P14207	FOLR2
P15328	FOLR1
P35354	PTGS2
P23219	PTGS1
P37231	PPARG
Q03181	PPARD
O60427	FADS1
O60488	ACSL4
O14842	FFAR1
P32418	SLC8A1
Q8NER1	TRPV1
Q07869	PPARA
Q9BYV1	AGXT2
P80404	ABAT
P49588	AARS1
P21549	AGXT
Q16719	KYNU
P43007	SLC1A4
Q7Z2H8	SLC36A1
P24298	GPT
Q9UHI5	SLC7A8
Q8TD30	GPT2
Q5JTZ9	AARS2
O94788	ALDH1A2
P00352	ALDH1A1
Q92781	RDH5
P47895	ALDH1A3
Q96NR8	RDH12
O95237	LRAT
O75911	DHRS3
Q8TC12	RDH11
P05090	APOD
P41222	PTGDS
P09917	ALOX5
O76054	SEC14L2
Q9UDX4	SEC14L3
P05771	PRKCB
O75469	NR1I2
P17252	PRKCA
P23743	DGKA
P67775	PPP2CA
O00764	PDXK
P41252	IARS1
P54687	BCAT1
P45954	ACADSB
O15382	BCAT2
Q9NSE4	IARS2
P04035	HMGCR
Q92769	HDAC2
P31645	SLC6A4
Q12809	KCNH2
P30556	AGTR1
P12821	ACE
P46663	BDKRB1
P04278	SHBG
P04150	NR3C1
Q9UBS5	GABBR1
O75899	GABBR2
Q05940	SLC18A2
Q01959	SLC6A3
Q16568	CARTPT
Q96RJ0	TAAR1
P23975	SLC6A2
P35348	ADRA1A
P35368	ADRA1B
P25100	ADRA1D
P08913	ADRA2A
P18089	ADRA2B
P08588	ADRB1
P07550	ADRB2
P13945	ADRB3
P14416	DRD2
P27338	MAOB
P21397	MAOA
P14867	GABRA1
P47869	GABRA2
P34903	GABRA3
P48169	GABRA4
P31644	GABRA5
Q16445	GABRA6
P18505	GABRB1
P47870	GABRB2
P28472	GABRB3
O14764	GABRD
P18507	GABRG2
Q99928	GABRG3
Q9UN88	GABRQ
P28074	PSMB5
P20618	PSMB1
P20711	DDC
P01303	NPY
P35372	OPRM1
P28335	HTR2C
P41145	OPRK1
P41143	OPRD1
P20309	CHRM3
P11229	CHRM1
P25103	TACR1
Q99250	SCN2A
Q05586	GRIN1
Q12879	GRIN2A
Q13224	GRIN2B
Q14957	GRIN2C
O15399	GRIN2D
O60391	GRIN3B
P30542	ADORA1
Q9BXJ7	AMN
O60494	CUBN
P21817	RYR1
P29274	ADORA2A
P54750	PDE1A
Q01064	PDE1B
Q14123	PDE1C
Q9Y233	PDE10A
P27815	PDE4A
Q08493	PDE4C
Q9NP56	PDE7B
O00408	PDE2A
Q14432	PDE3A
Q13370	PDE3B
O76074	PDE5A
Q9HCR9	PDE11A
Q13946	PDE7A
O60658	PDE8A
O95263	PDE8B
O76083	PDE9A
P16499	PDE6A
P35913	PDE6B
P78527	PRKDC
O00329	PIK3CD
P42336	PIK3CA
P42338	PIK3CB
Q14643	ITPR1
Q14571	ITPR2
Q14573	ITPR3
Q13315	ATM
P29275	ADORA2B
P0DMS8	ADORA3
P18545	PDE6G
O95069	KCNK2
P54219	SLC18A1
O15392	BIRC5
Q9H244	P2RY12
P10826	RARB
P13631	RARG
P28702	RXRB
P48443	RXRG
P19793	RXRA
P05412	JUN
O60603	TLR2
P10276	RARA
P17174	GOT1
P20648	ATP4A
O94760	DDAH1
Q13621	SLC12A1
P55011	SLC12A2
P35367	HRH1
P28221	HTR1D
P28222	HTR1B
P08908	HTR1A
P11388	TOP2A
Q14654	KCNJ11
P48048	KCNJ1
Q09428	ABCC8
P20701	ITGAL
P00915	CA1
P00918	CA2
P22748	CA4
P43681	CHRNA4
P42262	GRIA2
Q13002	GRIK2
P23921	RRM1
P31350	RRM2
Q7LG56	RRM2B
P09884	POLA1
Q07864	POLE
Q9NRF9	POLE3
