From	To
P29475	4842
P00797	5972
P04818	7298
P21917	1815
P00325	125
P48169	2557
P02787	7018
P35462	1814
P30519	3163
P07101	7054
Q01959	6531
P01375	7124
P09601	3162
P14416	1813
P11473	7421
P02741	1401
P37840	6622
P43004	6506
P98164	4036
P01189	5443
P01009	5265
Q04760	2739
P01042	3827
P01584	3553
P30793	2643
Q96EN8	55034
P27338	4129
P21397	4128
P27708	790
P50135	3176
P01024	718
P28476	2570
A8MPY1	200959
Q86SZ2	122553
P02786	7037
P46939	7402
Q16552	3605
P49281	4891
Q16595	2395
Q92570	8013
P32004	3897
Q5S007	120892
Q13163	5607
P15428	3248
P11766	128
P21728	1812
P29401	7086
P24530	1910
P00734	2147
P14780	4318
P21554	1268
Q07869	5465
P28702	6257
Q8IWU9	121278
P34972	1269
P21673	6303
P07741	353
Q05940	6571
P17752	7166
P03372	2099
P24046	2569
P80365	3291
P10275	367
P05091	217
P09172	1621
Q99720	10280
P48637	2937
Q9UI33	11280
P09619	5159
P00747	5340
P16442	28
P37231	5468
Q9UBS5	2550
P16083	4835
P12821	1636
P07327	124
P08912	1133
P30531	6529
P14679	7299
P80404	18
P29474	4846
Q08828	107
P08913	150
P08908	3350
P46098	3359
P39086	2897
Q9NR19	55902
Q9UM73	238
P08319	127
P00740	2158
Q05586	2902
Q06203	5471
Q99259	2571
P47869	2555
P25103	6869
P32238	886
Q13224	2904
P41143	4985
Q13936	775
P17516	1109
P28223	3356
Q14957	2905
P00326	126
P31644	2558
P28566	3354
P30837	219
P23975	6530
Q07343	5142
P40394	131
P28335	3358
P18405	6715
P04406	2597
P00352	216
P08172	1129
P14778	3554
P31213	6716
P42330	8644
Q05329	2572
Q9Y233	10846
P41145	4986
P08253	4313
P00390	2936
P34969	3363
P10276	5914
P24298	2875
P04278	6462
P10827	7067
P17735	6898
P11498	5091
P49589	833
P30536	706
P12081	3035
P31645	6532
P01178	5020
Q12879	2903
Q16445	2559
P00533	1956
P35372	4988
P47901	553
P04150	2908
P14867	2554
P28222	3351
P09488	2944
P30711	2952
Q13255	2911
Q13003	2899
Q14831	2917
O00222	2918
P06241	2534
P30559	5021
Q93088	635
P43681	1137
P43220	2740
Q16568	9607
Q14289	2185
P19440	2678
Q00535	1020
P05231	3569
Q6W5P4	387129
P01133	1950
P27986	5295
P16220	1385
P10145	3576
P52788	6611
P17405	6609
Q14416	2912
P29460	3593
P01137	7040
Q03181	5467
P09038	2247
P06850	1392
P48051	3763
P98160	3339
P04275	7450
P01019	183
P49841	2932
Q06124	5781
P01112	3265
P19838	4790
P01138	4803
P06881	796
P43003	6507
P02649	348
P27815	5141
P29218	3612
P32239	887
O60760	27306
P02751	2335
P41594	2915
P13569	1080
P25942	958
Q99808	2030
P04040	847
P48736	5294
P17900	2760
Q13426	7518
P62508	2104
P21964	1312
P11511	1588
P42898	4524
O00519	2166
P00813	100
P15104	2752
Q13427	9360
Q14832	2913
P18505	2560
P28472	2562
P47870	2561
P20815	1577
Q92769	3066
Q9UBN7	10013
P29371	6870
P41146	4987
P42336	5290
O00329	5293
P42338	5291
P07949	5979
P49146	4887
O00206	7099
P25929	4886
Q15761	4889
P22301	3586
P39905	2668
Q9NQX3	10243
Q9BY49	55825
P15289	410
P18509	116
P11509	1548
P04637	7157
Q92847	2693
P23560	627
P33151	1003
P15328	2348
P09429	3146
P40763	6774
P01303	4852
P05181	1571
P20813	1555
O14649	3777
P30926	1143
P32297	1136
P30532	1138
Q05901	1142
P12104	2169
P18507	2566
Q8N1C3	2565
Q99928	2567
Q16620	4915
O95622	111
P61626	4069
P45983	5599
Q16566	814
Q9UQM7	815
P01889	3106
P14550	10327
P07108	1622
P30084	1892
O14964	9146
P01106	4609
P01583	3552
P18510	3557
P01903	3122
O95264	9177
Q9UGI6	3782
Q9ULB1	9378
Q9C0B1	79068
Q16555	1808
Q8TAB3	57526
O43613	3061
P34998	1394
P80303	4925
P63244	10399
P42858	3064
Q9NYV7	50833
P21333	2316
Q8NFD2	255239
P29322	2046
Q9Y6R4	4216
Q9P0L2	4139
P32245	4160
P00738	3240
P06307	885
P02452	1277
P20309	1131
P14060	3283
P24752	38
P35610	6646
Q9NYK1	51284
P10415	596
P35354	5743
P09455	5947
P16050	246
P28845	3290
P34896	6470
P11926	4953
O15528	1594
P01130	3949
P04626	2064
P25101	1909
P02768	213
P06401	5241
P49585	5130
P19429	7137
P01589	3559
P08235	4306
Q01718	4158
Q9UKV0	9734
P16410	1493
P07858	1508
P01579	3458
P06730	1977
P35222	1499
P51580	7172
P62937	5478
P60568	3558
P13500	6347
Q92887	1244
P05362	3383
P04156	5621
P00450	1356
P42574	836
Q9NR96	54106
P61586	387
P48449	4047
P09874	142
P14174	4282
Q96AZ6	3669
P32119	7001
P19021	5066
P47989	7498
O95864	9415
Q9UGM6	10352
O00305	785
Q00653	4791
P00441	6647
P27695	328
P01911	3123
Q8WTS6	80854
Q13363	1487
P01270	5741
P00403	4513
O15392	332
Q9NPF7	51561
Q8NET8	162514
P05019	3479
P10644	5573
Q9NZQ7	29126
P10636	4137
Q15722	1241
P05112	3565
P35869	196
P23458	3716
P01920	3119
P51178	5333
P46459	4905
P49913	820
P35398	6095
Q15125	10682
P07288	354
F7VJQ1	5621
P02765	197
P04003	722
P35858	3483
P15924	1832
P46940	8826
Q13153	5058
Q9H4B4	1263
Q15139	5587
Q96BR1	23678
P11532	1756
P43657	10161
P41222	5730
Q9Y487	23545
P55211	842
O15123	285
P19113	3067
Q9UI32	27165
P00488	2162
P35228	4843
P30542	134
P00519	25
P23219	5742
P35916	2324
P17948	2321
Q9UPY5	23657
P06213	3643
O60931	1497
P04049	5894
P13716	210
P30556	185
P34995	5731
P11836	931
P51843	190
P10912	2690
P12277	1152
Q13639	3360
P14618	5315
P11229	1128
