From	To
P29475	NOS1
P00797	REN
P04818	TYMS
P21917	DRD4
P00325	ADH1B
P48169	GABRA4
P02787	TF
P35462	DRD3
P30519	HMOX2
P07101	TH
Q01959	SLC6A3
P01375	TNF
P09601	HMOX1
P14416	DRD2
P11473	VDR
P02741	CRP
P37840	SNCA
P43004	SLC1A2
P98164	LRP2
P01189	POMC
P01009	SERPINA1
Q04760	GLO1
P01042	KNG1
P01584	IL1B
P30793	GCH1
Q96EN8	MOCOS
P27338	MAOB
P21397	MAOA
P27708	CAD
P50135	HNMT
P01024	C3
P28476	GABRR2
A8MPY1	GABRR3
Q86SZ2	TRAPPC6B
P02786	TFRC
P46939	UTRN
Q16552	IL17A
P49281	SLC11A2
Q16595	FXN
Q92570	NR4A3
P32004	L1CAM
Q5S007	LRRK2
Q13163	MAP2K5
P15428	HPGD
P11766	ADH5
P21728	DRD1
P29401	TKT
P24530	EDNRB
P00734	F2
P14780	MMP9
P21554	CNR1
Q07869	PPARA
P28702	RXRB
Q8IWU9	TPH2
P34972	CNR2
P21673	SAT1
P07741	APRT
Q05940	SLC18A2
P17752	TPH1
P03372	ESR1
P24046	GABRR1
P80365	HSD11B2
P10275	AR
P05091	ALDH2
P09172	DBH
Q99720	SIGMAR1
P48637	GSS
Q9UI33	SCN11A
P09619	PDGFRB
P00747	PLG
P16442	ABO
P37231	PPARG
Q9UBS5	GABBR1
P16083	NQO2
P12821	ACE
P07327	ADH1A
P08912	CHRM5
P30531	SLC6A1
P14679	TYR
P80404	ABAT
P29474	NOS3
Q08828	ADCY1
P08913	ADRA2A
P08908	HTR1A
P46098	HTR3A
P39086	GRIK1
Q9NR19	ACSS2
Q9UM73	ALK
P08319	ADH4
P00740	F9
Q05586	GRIN1
Q06203	PPAT
Q99259	GAD1
P47869	GABRA2
P25103	TACR1
P32238	CCKAR
Q13224	GRIN2B
P41143	OPRD1
Q13936	CACNA1C
P17516	AKR1C4
P28223	HTR2A
Q14957	GRIN2C
P00326	ADH1C
P31644	GABRA5
